respondent_id,persona,age_group,gender,city_tier,education_level,employment_status,shopping_frequency,platform_1,platform_2,platform_3,primary_device,browse_time_before_purchase,cart_abandonment_freq,cart_abandon_reason,cat_fashion,cat_electronics,cat_grocery,cat_beauty,cat_home,cat_books,cat_sports,cat_toys,review_importance_score,discovery_channel,recommendation_acceptance_score,monthly_income_bracket,monthly_spend_bracket,max_single_transaction_value,discount_sensitivity_score,impulse_discount_threshold,preferred_payment_method,loyalty_member,loyalty_member_flag,delivery_importance_score,return_frequency,social_purchase_influence_freq,social_commerce_adoption,repeat_purchase_intent_score,platform_switching_propensity,review_writing_freq,festive_spend_proportion,impulse_trigger_type,ai_personalisation_comfort,will_purchase,age_enc,shopping_freq_enc,browse_time_enc,abandon_freq_enc,education_enc,city_tier_enc,income_enc,spend_enc,return_freq_enc,social_inf_enc,discount_thresh_enc,festive_enc,spend_winsorised,log_spend,gender_Female,gender_Male,gender_Non-binary,gender_Prefer not to say,city_tier_Metro (Tier 1),city_tier_Rural / town,city_tier_Tier 2 city,city_tier_Tier 3 city,employment_status_Homemaker,employment_status_Salaried (govt.),employment_status_Salaried (private),employment_status_Self-employed,employment_status_Student,employment_status_Unemployed,primary_device_Laptop / desktop,primary_device_Smartphone,primary_device_Tablet,discovery_channel_Email / app notifications,discovery_channel_Friends / family,discovery_channel_Influencer reviews,discovery_channel_Platform recommendations,discovery_channel_Search engine,discovery_channel_Social media ads,preferred_payment_method_Buy now pay later,preferred_payment_method_Cash on delivery,preferred_payment_method_Credit card,preferred_payment_method_Debit card,preferred_payment_method_Net banking,preferred_payment_method_UPI,social_commerce_adoption_No but open to it,social_commerce_adoption_No not interested,social_commerce_adoption_Yes occasionally,social_commerce_adoption_Yes regularly,impulse_trigger_type_Boredom,impulse_trigger_type_Festive sale,impulse_trigger_type_Flash sale notification,impulse_trigger_type_Gifting occasion,impulse_trigger_type_Influencer post,impulse_trigger_type_Recommendation email,cart_abandon_reason_Found better deal elsewhere,cart_abandon_reason_High delivery charges,cart_abandon_reason_High price / no discount,cart_abandon_reason_Just browsing,cart_abandon_reason_N/A - I rarely abandon,cart_abandon_reason_Payment issues,cluster,cluster_name
1011,urban_professional,35-44,Female,Metro (Tier 1),Undergraduate,Self-employed,Monthly,Flipkart,Meesho,,Smartphone,Under 10 minutes,Often,Found better deal elsewhere,1,0,0,0,0,1,0,0,5,Search engine,5,100000-200000,Above 15000,22440.87,2,21-40pct,Debit card,No but considering,0,3,Occasionally,Rarely,No not interested,3,3,Rarely,10-25pct,Gifting occasion,5,1,3,3,1,4,2,4,4,5,3,2,3,2,22440.87,10.018683689497935,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Premium loyalists
1012,value_seeker,25-34,Male,Tier 3 city,Postgraduate,Self-employed,Occasionally,Myntra,Meesho,,Smartphone,More than 1 hour,Often,High price / no discount,0,0,1,0,1,0,0,0,5,Search engine,1,50000-100000,500-2000,9792.64,2,10-20pct,UPI,No not interested,0,5,Rarely,Sometimes,No but open to it,2,4,Rarely,26-50pct,Influencer post,3,1,2,2,4,4,3,2,3,2,2,3,2,3,9792.64,9.189488474388416,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,Occasional browsers
1013,value_seeker,35-44,Male,Tier 3 city,High school or below,Self-employed,Monthly,Meesho,Amazon,Myntra,Smartphone,30-60 minutes,Often,Found better deal elsewhere,1,0,1,1,1,0,0,0,5,Friends / family,3,20000-50000,2000-5000,1115.77,5,Discounts dont trigger,UPI,No not interested,0,5,Occasionally,Sometimes,Yes occasionally,2,5,Rarely,26-50pct,Recommendation email,3,0,3,3,3,4,1,2,2,3,3,3,1,3,1115.77,7.018195869183122,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,Occasional browsers
1014,urban_professional,25-34,Female,Tier 3 city,Undergraduate,Salaried (private),Weekly,Myntra,Meesho,Brand website,Smartphone,30-60 minutes,Rarely,Just browsing,1,1,0,0,0,0,1,0,5,Search engine,1,20000-50000,500-2000,2926.74,3,41-60pct,Credit card,No not interested,0,2,Never,Rarely,Yes occasionally,4,4,Rarely,10-25pct,Gifting occasion,4,1,2,4,3,2,2,2,2,2,1,2,4,2,2926.74,7.981986073324235,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Deal hunters
1015,urban_professional,35-44,Male,Metro (Tier 1),Undergraduate,Salaried (private),Daily or almost daily,Amazon,Flipkart,Meesho,Smartphone,10-30 minutes,Often,Just browsing,0,1,0,1,0,0,1,0,3,Friends / family,4,Above 200000,5000-15000,26002.81,3,Discounts dont trigger,Credit card,Yes - multiple programmes,1,5,Rarely,Sometimes,Yes occasionally,4,3,Occasionally,10-25pct,Gifting occasion,3,1,3,5,2,4,2,4,5,4,2,3,1,2,26002.81,10.165998344729449,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Tech-savvy explorers
1016,urban_professional,25-34,Male,Tier 2 city,Postgraduate,Salaried (private),Monthly,Nykaa,Amazon,Flipkart,Laptop / desktop,10-30 minutes,Rarely,N/A - I rarely abandon,1,0,0,1,1,0,1,0,5,Friends / family,5,100000-200000,5000-15000,10724.09,2,Above 60pct,Debit card,Yes - multiple programmes,1,3,Occasionally,Often,Yes occasionally,4,2,Rarely,26-50pct,Boredom,3,1,2,3,2,2,3,3,4,4,3,4,5,3,10724.09,9.2803411353694,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,Tech-savvy explorers
1017,budget_student,18-24,Male,Tier 3 city,Undergraduate,Student,Monthly,Meesho,Flipkart,Nykaa,Smartphone,More than 1 hour,Rarely,High price / no discount,1,0,0,1,0,1,1,0,5,Friends / family,5,20000-50000,2000-5000,2213.07,4,10-20pct,Buy now pay later,No not interested,0,5,Never,Often,Yes regularly,2,2,Frequently,10-25pct,Flash sale notification,3,1,1,3,4,2,2,2,2,3,1,4,2,2,2213.07,7.702587729751612,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,Deal hunters
1018,urban_professional,25-34,Female,Tier 2 city,Postgraduate,Salaried (private),Monthly,Amazon,Meesho,Flipkart,Laptop / desktop,Under 10 minutes,Sometimes,Just browsing,0,0,0,0,1,1,0,1,3,Platform recommendations,5,50000-100000,500-2000,6652.03,3,21-40pct,Credit card,Yes - multiple programmes,1,4,Rarely,Never,Yes occasionally,5,2,Frequently,26-50pct,Gifting occasion,4,1,2,3,1,3,3,3,3,2,2,1,3,3,6652.03,8.80282766897567,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Tech-savvy explorers
1019,homemaker,25-34,Female,Tier 3 city,Undergraduate,Salaried (govt.),Monthly,Flipkart,Nykaa,Myntra,Tablet,Under 10 minutes,Sometimes,High price / no discount,0,0,1,0,1,0,0,0,1,Influencer reviews,4,20000-50000,2000-5000,6061.66,4,10-20pct,UPI,Yes - one programme,1,2,Rarely,Rarely,No but open to it,4,2,Never,10-25pct,Boredom,2,0,2,3,1,3,2,2,2,3,2,2,2,2,6061.66,8.70990392665006,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,Occasional browsers
1020,premium_loyalist,45-54,Male,Metro (Tier 1),Doctoral,Salaried (govt.),Weekly,Ajio,Amazon,,Laptop / desktop,10-30 minutes,Rarely,Just browsing,1,1,0,0,1,0,1,0,2,Search engine,3,Above 200000,Above 15000,39411.5,2,Above 60pct,Debit card,Yes - multiple programmes,1,5,Rarely,Sometimes,Yes occasionally,5,1,Occasionally,10-25pct,Gifting occasion,4,0,4,4,2,2,4,4,5,5,2,3,5,2,39411.5,10.581838303853315,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Tech-savvy explorers
1021,budget_student,18-24,Female,Tier 2 city,Undergraduate,Student,Monthly,Flipkart,Amazon,,Laptop / desktop,10-30 minutes,Sometimes,High price / no discount,0,1,1,0,1,1,1,1,3,Social media ads,5,20000-50000,500-2000,1366.97,4,10-20pct,Net banking,No but considering,0,5,Rarely,Almost always,Yes occasionally,3,3,Frequently,Less than 10pct,Flash sale notification,4,0,1,3,2,3,2,3,2,2,2,5,2,1,1366.97,7.221083168117472,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Deal hunters
1022,homemaker,25-34,Female,Tier 2 city,Undergraduate,Homemaker,Monthly,Nykaa,Amazon,Meesho,Smartphone,More than 1 hour,Rarely,Just browsing,0,0,1,1,1,0,0,1,5,Friends / family,4,50000-100000,5000-15000,5385.95,3,21-40pct,Cash on delivery,No not interested,0,5,Occasionally,Rarely,No not interested,3,4,Rarely,Less than 10pct,Flash sale notification,2,1,2,3,4,2,2,3,3,4,3,2,3,1,5385.95,8.591734641033598,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,Value seekers
1023,premium_loyalist,35-44,Male,Metro (Tier 1),Undergraduate,Salaried (private),Weekly,Nykaa,Myntra,Ajio,Smartphone,10-30 minutes,Never,Just browsing,0,1,0,0,0,0,1,0,4,Social media ads,4,Above 200000,5000-15000,78307.11,4,Discounts dont trigger,Credit card,Yes - one programme,1,5,Occasionally,Rarely,Yes occasionally,5,2,Occasionally,Less than 10pct,Recommendation email,5,1,3,4,2,1,2,4,5,4,3,2,1,1,67192.24039999998,11.115327932166084,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Tech-savvy explorers
1024,value_seeker,35-44,Male,Tier 2 city,Doctoral,Salaried (private),Daily or almost daily,Myntra,Amazon,Flipkart,Smartphone,30-60 minutes,Sometimes,High price / no discount,0,1,0,0,1,0,0,0,4,Platform recommendations,4,20000-50000,Under 500,1922.04,3,21-40pct,UPI,No not interested,0,4,Occasionally,Often,Yes occasionally,2,3,Rarely,Less than 10pct,Flash sale notification,2,1,3,5,3,3,4,3,2,1,3,4,3,1,1922.04,7.561662546204479,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,Occasional browsers
1025,premium_loyalist,55+,Male,Metro (Tier 1),Postgraduate,Salaried (private),Weekly,Myntra,Flipkart,Other,Laptop / desktop,10-30 minutes,Rarely,High delivery charges,1,1,1,0,1,0,0,0,4,Search engine,3,Above 200000,5000-15000,25184.48,2,Above 60pct,Net banking,Yes - one programme,1,4,Frequently,Sometimes,No not interested,3,3,Occasionally,Less than 10pct,Gifting occasion,4,1,5,4,2,2,3,4,5,4,4,3,5,1,25184.48,10.1340229169618,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,Tech-savvy explorers
1026,urban_professional,25-34,Female,Rural / town,Undergraduate,Salaried (govt.),Weekly,Myntra,Brand website,,Laptop / desktop,10-30 minutes,Sometimes,N/A - I rarely abandon,1,0,0,0,0,0,1,0,4,Search engine,5,50000-100000,2000-5000,1175.14,4,10-20pct,Credit card,Yes - multiple programmes,1,5,Frequently,Rarely,No not interested,5,2,Occasionally,Less than 10pct,Festive sale,4,0,2,4,2,3,2,1,3,3,4,2,2,1,1175.14,7.069993168992014,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,Tech-savvy explorers
1027,value_seeker,45-54,Female,Rural / town,Postgraduate,Salaried (private),Occasionally,Meesho,Flipkart,Amazon,Smartphone,30-60 minutes,Sometimes,Just browsing,1,1,0,0,1,0,1,0,3,Search engine,4,20000-50000,500-2000,2922.24,4,41-60pct,Debit card,No not interested,0,4,Rarely,Rarely,No but open to it,3,4,Rarely,26-50pct,Festive sale,2,0,4,2,3,3,3,1,2,2,2,2,4,3,2922.24,7.980447869164496,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,Occasional browsers
1028,budget_student,18-24,Female,Metro (Tier 1),Undergraduate,Student,Weekly,Nykaa,Meesho,Myntra,Smartphone,30-60 minutes,Sometimes,High delivery charges,1,1,0,1,0,1,1,0,2,Social media ads,4,Below 20000,Under 500,1155.21,3,Above 60pct,UPI,No not interested,0,5,Never,Often,No but open to it,2,4,Frequently,10-25pct,Flash sale notification,3,0,1,4,3,3,2,4,1,1,1,4,5,2,1155.21,7.052902693633634,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Deal hunters
1029,budget_student,18-24,Male,Metro (Tier 1),Undergraduate,Salaried (private),Weekly,Meesho,Amazon,Flipkart,Smartphone,10-30 minutes,Rarely,Just browsing,0,1,1,0,0,1,0,0,5,Friends / family,2,20000-50000,2000-5000,1367.2,4,21-40pct,UPI,No not interested,0,5,Rarely,Often,Yes occasionally,3,4,Occasionally,26-50pct,Flash sale notification,4,0,1,4,2,2,2,4,2,3,2,4,3,3,1367.2,7.221251286326898,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Deal hunters
1030,urban_professional,25-34,Female,Metro (Tier 1),Postgraduate,Salaried (private),Daily or almost daily,Amazon,Flipkart,Myntra,Smartphone,30-60 minutes,Never,Just browsing,1,1,1,0,0,1,1,0,1,Social media ads,5,100000-200000,5000-15000,7360.42,2,21-40pct,UPI,Yes - one programme,1,5,Rarely,Never,Yes occasionally,5,1,Occasionally,10-25pct,Flash sale notification,4,1,2,5,3,1,3,4,4,4,2,1,3,2,7360.42,8.90400812789601,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,Tech-savvy explorers
1031,budget_student,18-24,Female,Tier 2 city,Undergraduate,Student,Monthly,Nykaa,Meesho,Myntra,Smartphone,10-30 minutes,Rarely,High price / no discount,0,0,0,0,0,1,0,0,5,Social media ads,4,20000-50000,2000-5000,904.07,4,Discounts dont trigger,UPI,No not interested,0,5,Rarely,Rarely,No but open to it,2,5,Occasionally,10-25pct,Flash sale notification,3,0,1,3,2,2,2,3,2,3,2,2,1,2,904.07,6.808012288775017,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Deal hunters
1032,budget_student,25-34,Female,Metro (Tier 1),Undergraduate,Student,Monthly,Flipkart,Amazon,Brand website,Smartphone,30-60 minutes,Often,High price / no discount,1,0,1,0,0,1,1,0,3,Platform recommendations,5,100000-200000,2000-5000,15622.96,1,41-60pct,UPI,No not interested,0,4,Rarely,Almost always,Yes occasionally,3,3,Frequently,Less than 10pct,Festive sale,2,1,2,3,3,4,2,4,4,3,2,5,4,1,15622.96,9.656560912389388,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Premium loyalists
1033,urban_professional,18-24,Female,Tier 2 city,Undergraduate,Salaried (private),Weekly,Brand website,Flipkart,Ajio,Smartphone,Under 10 minutes,Rarely,Payment issues,0,0,0,0,0,0,1,0,5,Platform recommendations,5,50000-100000,5000-15000,3433.99,3,21-40pct,UPI,Yes - multiple programmes,1,5,Never,Rarely,Yes occasionally,3,1,Frequently,More than 50pct,Recommendation email,3,1,1,4,1,2,2,3,3,4,1,2,3,4,3433.99,8.14176929344406,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,Tech-savvy explorers
1034,budget_student,18-24,Female,Metro (Tier 1),Undergraduate,Student,Occasionally,Ajio,Amazon,,Smartphone,Under 10 minutes,Rarely,Found better deal elsewhere,1,0,0,0,0,1,0,0,4,Influencer reviews,5,50000-100000,500-2000,7739.81,4,41-60pct,Debit card,No but considering,0,4,Rarely,Often,Yes regularly,3,2,Rarely,More than 50pct,Flash sale notification,4,1,1,2,1,2,2,4,3,2,2,4,4,4,7739.81,8.954261612271013,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Deal hunters
1035,value_seeker,45-54,Male,Tier 3 city,Postgraduate,Salaried (govt.),Monthly,Myntra,Flipkart,,Laptop / desktop,30-60 minutes,Sometimes,High delivery charges,0,1,1,0,1,1,1,0,5,Platform recommendations,3,20000-50000,2000-5000,3531.77,5,21-40pct,Debit card,No but considering,0,3,Occasionally,Often,Yes occasionally,3,3,Occasionally,More than 50pct,Boredom,2,0,4,3,3,3,3,2,2,3,3,4,3,4,3531.77,8.16983754475884,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,Occasional browsers
